# clustering cumul_peers
0.10714285714285714 1
0.14285714285714285 2
0.14285714285714285 3
0.16071428571428573 4
0.17857142857142858 5
0.17857142857142858 6
0.17857142857142858 7
0.17857142857142858 8
0.19642857142857142 9
0.21428571428571427 10
0.23214285714285715 11
0.25 12
0.26785714285714285 13
0.26785714285714285 14
0.26785714285714285 15
0.26785714285714285 16
0.26785714285714285 17
0.2857142857142857 18
0.2857142857142857 19
0.2857142857142857 20
0.2857142857142857 21
0.2857142857142857 22
0.30357142857142855 23
0.30357142857142855 24
0.30357142857142855 25
0.30357142857142855 26
0.30357142857142855 27
0.30357142857142855 28
0.32142857142857145 29
0.32142857142857145 30
0.32142857142857145 31
0.32142857142857145 32
0.32142857142857145 33
0.3392857142857143 34
0.3392857142857143 35
0.3392857142857143 36
0.3392857142857143 37
0.35714285714285715 38
0.35714285714285715 39
0.35714285714285715 40
0.375 41
0.375 42
0.39285714285714285 43
0.4107142857142857 44
0.42857142857142855 45
0.42857142857142855 46
0.42857142857142855 47
0.44642857142857145 48
0.44642857142857145 49
0.5535714285714286 50
