2016-10-24 21:34:08.985451 (55)  	0 i_am_infected_as_patient_zero
2016-10-24 21:34:18.994693 (55)  	5 duplicate_received
2016-10-24 21:34:18.997210 (92)  	3 i_am_infected_by_rumor_mongering
2016-10-24 21:34:19.55 (129)  	4 i_am_infected_by_rumor_mongering
2016-10-24 21:34:18.994588 (131)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:34:20.714802 (168)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:34:20.739623 (166)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:20.740042 (55)  	5 duplicate_received
2016-10-24 21:34:20.743257 (92)  	4 duplicate_received
2016-10-24 21:34:20.745977 (129)  	5 duplicate_received
2016-10-24 21:34:20.955196 (37)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:20.994502 (149)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:20.995142 (55)  	6 duplicate_received
2016-10-24 21:34:20.998521 (92)  	4 duplicate_received
2016-10-24 21:34:21.1095 (129)  	5 duplicate_received
2016-10-24 21:34:21.386723 (55)  	6 duplicate_received
2016-10-24 21:34:21.387173 (58)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:34:21.390603 (92)  	5 duplicate_received
2016-10-24 21:34:21.394052 (129)  	5 duplicate_received
2016-10-24 21:34:21.517552 (1)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:21.563211 (41)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:21.570512 (134)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:21.613348 (19)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:21.668597 (115)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:21.694919 (116)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:21.900682 (133)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:21.946762 (148)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.50034 (94)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.102554 (75)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.276091 (153)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.300102 (96)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.303733 (95)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.311086 (79)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.382429 (74)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.517984 (2)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.702474 (61)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.740976 (55)  	6 duplicate_received
2016-10-24 21:34:22.744320 (92)  	5 duplicate_received
2016-10-24 21:34:22.746574 (129)  	6 duplicate_received
2016-10-24 21:34:22.837796 (97)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.953138 (42)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.995321 (55)  	7 duplicate_received
2016-10-24 21:34:22.996894 (40)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:22.997825 (92)  	5 duplicate_received
2016-10-24 21:34:23.184 (129)  	6 duplicate_received
2016-10-24 21:34:23.56711 (111)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.74829 (57)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.129166 (169)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.280271 (151)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.286677 (76)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.301175 (150)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.336302 (60)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.375444 (4)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.387173 (55)  	7 duplicate_received
2016-10-24 21:34:23.389910 (92)  	6 duplicate_received
2016-10-24 21:34:23.391942 (129)  	6 duplicate_received
2016-10-24 21:34:23.571253 (56)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.578465 (93)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.617533 (132)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.620794 (23)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.580752 (39)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.668308 (38)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.743708 (152)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:23.947450 (113)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:24.218565 (24)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:24.301667 (78)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:24.742497 (55)  	7 duplicate_received
2016-10-24 21:34:24.744716 (92)  	6 duplicate_received
2016-10-24 21:34:24.746971 (129)  	7 duplicate_received
2016-10-24 21:34:24.752763 (20)  	8 i_am_infected_by_anti_entropy
2016-10-24 21:34:25.286986 (5)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:25.458549 (21)  	8 i_am_infected_by_anti_entropy
