2016-10-24 21:33:47.669187 (92)  	0 i_am_infected_as_patient_zero
2016-10-24 21:33:57.680174 (133)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:33:57.680140 (92)  	5 duplicate_received
2016-10-24 21:33:57.683319 (18)  	3 i_am_infected_by_rumor_mongering
2016-10-24 21:33:57.686356 (166)  	5 i_am_infected_by_rumor_mongering
2016-10-24 21:33:58.923770 (97)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:59.413632 (1)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:33:59.496642 (23)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:59.557022 (92)  	5 duplicate_received
2016-10-24 21:33:59.556669 (130)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:33:59.561667 (18)  	4 duplicate_received
2016-10-24 21:33:59.564585 (166)  	6 duplicate_received
2016-10-24 21:33:59.680445 (92)  	6 duplicate_received
2016-10-24 21:33:59.680970 (74)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:59.683188 (18)  	4 duplicate_received
2016-10-24 21:33:59.685800 (166)  	6 duplicate_received
2016-10-24 21:33:59.728518 (114)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:59.735711 (2)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:59.759534 (77)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:59.951123 (96)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:59.997246 (131)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:00.199434 (37)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:00.237163 (111)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:00.490194 (150)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:00.491584 (92)  	6 duplicate_received
2016-10-24 21:34:00.494649 (18)  	5 duplicate_received
2016-10-24 21:34:00.531191 (149)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:00.500266 (166)  	6 duplicate_received
2016-10-24 21:34:00.851248 (39)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:00.866137 (132)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:00.979333 (93)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:01.131347 (172)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:01.339675 (19)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:01.401960 (42)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:01.415671 (58)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:01.496212 (55)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:01.558057 (92)  	6 duplicate_received
2016-10-24 21:34:01.560450 (18)  	5 duplicate_received
2016-10-24 21:34:01.562908 (166)  	7 duplicate_received
2016-10-24 21:34:01.603816 (151)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:01.658487 (61)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:01.680076 (92)  	7 duplicate_received
2016-10-24 21:34:01.682871 (18)  	5 duplicate_received
2016-10-24 21:34:01.685343 (166)  	7 duplicate_received
2016-10-24 21:34:01.760233 (75)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:34:01.807864 (113)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:01.844252 (56)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.7310 (22)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.237636 (41)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.363958 (168)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.372039 (59)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.385241 (171)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.387535 (40)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.491254 (92)  	7 duplicate_received
2016-10-24 21:34:02.493985 (18)  	6 duplicate_received
2016-10-24 21:34:02.496443 (166)  	7 duplicate_received
2016-10-24 21:34:02.498963 (20)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.531450 (5)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.592492 (21)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.682602 (57)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.848936 (169)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.933919 (79)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.936746 (116)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:02.995402 (129)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:03.41929 (115)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:03.83267 (167)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:03.99985 (153)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:34:03.558801 (92)  	7 duplicate_received
2016-10-24 21:34:03.561134 (18)  	6 duplicate_received
2016-10-24 21:34:03.563562 (166)  	8 duplicate_received
2016-10-24 21:34:03.920666 (134)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:34:04.823184 (95)  	8 i_am_infected_by_anti_entropy
