2016-10-24 21:25:55.54078 (18)  	0 i_am_infected_as_patient_zero
2016-10-24 21:26:05.63192 (153)  	3 i_am_infected_by_anti_entropy
2016-10-24 21:26:05.63541 (18)  	5 duplicate_received
2016-10-24 21:26:05.67476 (55)  	3 i_am_infected_by_rumor_mongering
2016-10-24 21:26:05.71065 (129)  	3 i_am_infected_by_rumor_mongering
2016-10-24 21:26:05.487043 (74)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:06.58925 (1)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.57595 (56)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.64202 (24)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.208700 (171)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.229610 (59)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.427364 (113)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.484673 (114)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.487518 (152)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.487327 (18)  	6 duplicate_received
2016-10-24 21:26:07.491403 (55)  	4 duplicate_received
2016-10-24 21:26:07.493678 (129)  	5 duplicate_received
2016-10-24 21:26:07.616310 (151)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.641469 (116)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.696871 (96)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.897615 (18)  	6 duplicate_received
2016-10-24 21:26:07.898391 (115)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:07.902025 (55)  	5 duplicate_received
2016-10-24 21:26:07.904413 (129)  	5 duplicate_received
2016-10-24 21:26:07.926601 (5)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:08.22784 (97)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:08.58159 (4)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:08.123139 (60)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:08.148869 (132)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:08.209694 (21)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:08.221134 (94)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:08.274117 (149)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:08.716266 (40)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:08.842382 (112)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:08.994024 (61)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.40348 (130)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.65211 (18)  	7 duplicate_received
2016-10-24 21:26:09.65304 (167)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.68294 (55)  	5 duplicate_received
2016-10-24 21:26:09.70532 (129)  	5 duplicate_received
2016-10-24 21:26:09.122115 (42)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.188767 (39)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.195197 (77)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.208536 (20)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.265346 (169)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.265315 (134)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.415688 (37)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.429865 (95)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.484884 (79)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.489330 (76)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.492333 (55)  	5 duplicate_received
2016-10-24 21:26:09.494417 (129)  	6 duplicate_received
2016-10-24 21:26:09.525402 (135)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.488728 (18)  	7 duplicate_received
2016-10-24 21:26:09.703203 (58)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.895326 (131)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:09.898931 (18)  	7 duplicate_received
2016-10-24 21:26:09.901588 (55)  	6 duplicate_received
2016-10-24 21:26:09.903603 (129)  	6 duplicate_received
2016-10-24 21:26:10.14671 (170)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:10.111262 (133)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:26:10.236779 (98)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:26:10.263989 (78)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:26:10.399376 (38)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:26:11.66396 (18)  	8 duplicate_received
2016-10-24 21:26:11.69732 (55)  	6 duplicate_received
2016-10-24 21:26:11.71720 (129)  	6 duplicate_received
2016-10-24 21:26:11.112342 (2)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:26:11.841238 (168)  	7 i_am_infected_by_anti_entropy
