2016-10-24 16:30:24.49255 (55)  	0 i_am_infected_as_patient_zero
2016-10-24 16:30:29.58377 (56)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:30:29.63499 (37)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:30:29.163584 (170)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:29.167795 (134)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:30:29.971703 (93)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:30:29.976426 (56)  	1 duplicate_received
2016-10-24 16:30:30.44218 (37)  	0 duplicate_received
2016-10-24 16:30:30.46856 (58)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:32.294616 (113)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:32.299314 (115)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:32.843919 (39)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:32.848104 (19)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:32.988094 (57)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:32.992894 (151)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:33.327399 (58)  	1 duplicate_received
2016-10-24 16:30:33.330129 (59)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:33.778560 (112)  	2 i_am_infected_by_rumor_mongering
2016-10-24 16:30:33.783918 (37)  	1 duplicate_received
2016-10-24 16:30:33.813087 (113)  	2 duplicate_received
2016-10-24 16:30:33.815489 (168)  	2 i_am_infected_by_rumor_mongering
2016-10-24 16:30:33.995265 (74)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:33.999770 (2)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:34.168112 (74)  	1 duplicate_received
2016-10-24 16:30:34.170508 (131)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:34.830971 (41)  	2 i_am_infected_by_rumor_mongering
2016-10-24 16:30:34.835575 (113)  	2 duplicate_received
2016-10-24 16:30:34.915585 (94)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:30:34.920670 (19)  	2 duplicate_received
2016-10-24 16:30:36.541300 (19)  	2 duplicate_received
2016-10-24 16:30:36.544485 (74)  	1 duplicate_received
2016-10-24 16:30:36.714254 (93)  	2 duplicate_received
2016-10-24 16:30:36.716667 (131)  	2 duplicate_received
2016-10-24 16:30:36.894823 (19)  	2 duplicate_received
2016-10-24 16:30:36.897493 (58)  	2 duplicate_received
2016-10-24 16:30:37.308566 (75)  	2 i_am_infected_by_rumor_mongering
2016-10-24 16:30:37.312939 (166)  	2 i_am_infected_by_rumor_mongering
2016-10-24 16:30:37.563356 (59)  	1 duplicate_received
2016-10-24 16:30:37.565997 (115)  	2 duplicate_received
2016-10-24 16:30:37.846720 (39)  	2 duplicate_received
2016-10-24 16:30:37.849694 (75)  	2 duplicate_received
2016-10-24 16:30:37.988086 (38)  	2 i_am_infected_by_rumor_mongering
2016-10-24 16:30:37.992655 (114)  	2 i_am_infected_by_rumor_mongering
2016-10-24 16:30:38.727173 (151)  	3 duplicate_received
2016-10-24 16:30:38.729953 (3)  	3 i_am_infected_by_rumor_mongering
2016-10-24 16:30:41.114081 (59)  	2 duplicate_received
2016-10-24 16:30:41.116533 (19)  	3 duplicate_received
2016-10-24 16:30:42.572272 (150)  	3 i_am_infected_by_rumor_mongering
2016-10-24 16:30:42.577028 (149)  	3 i_am_infected_by_rumor_mongering
2016-10-24 16:30:43.337190 (112)  	4 duplicate_received
2016-10-24 16:30:43.339748 (150)  	3 duplicate_received
