# clustering cumul_peers
0.07142857142857142 1
0.08928571428571429 2
0.10714285714285714 3
0.10714285714285714 4
0.125 5
0.125 6
0.125 7
0.125 8
0.125 9
0.125 10
0.125 11
0.14285714285714285 12
0.14285714285714285 13
0.16071428571428573 14
0.16071428571428573 15
0.16071428571428573 16
0.16071428571428573 17
0.17857142857142858 18
0.17857142857142858 19
0.17857142857142858 20
0.17857142857142858 21
0.19642857142857142 22
0.19642857142857142 23
0.19642857142857142 24
0.19642857142857142 25
0.21428571428571427 26
0.21428571428571427 27
0.21428571428571427 28
0.21428571428571427 29
0.21428571428571427 30
0.23214285714285715 31
0.23214285714285715 32
0.23214285714285715 33
0.25 34
0.25 35
0.25 36
0.25 37
0.26785714285714285 38
0.26785714285714285 39
0.26785714285714285 40
0.26785714285714285 41
0.26785714285714285 42
0.26785714285714285 43
0.26785714285714285 44
0.2857142857142857 45
0.2857142857142857 46
0.2857142857142857 47
0.2857142857142857 48
0.32142857142857145 49
0.35714285714285715 50
