2016-10-24 21:35:00.792780 (131)  	6 i_am_infected_by_rumor_mongering
2016-10-24 21:35:00.796347 (61)  	6 duplicate_received
2016-10-24 21:35:00.798400 (148)  	7 duplicate_received
2016-10-24 21:35:00.814839 (130)  	6 duplicate_received
2016-10-24 21:35:00.818303 (59)  	6 duplicate_received
2016-10-24 21:35:00.881863 (40)  	7 duplicate_received
2016-10-24 21:35:00.821120 (74)  	7 duplicate_received
2016-10-24 21:35:00.882823 (93)  	7 duplicate_received
2016-10-24 21:35:00.887696 (24)  	6 duplicate_received
2016-10-24 21:35:00.960879 (4)  	7 duplicate_received
2016-10-24 21:35:00.965125 (75)  	5 duplicate_received
2016-10-24 21:35:00.969446 (21)  	6 duplicate_received
2016-10-24 21:35:00.970783 (166)  	7 duplicate_received
2016-10-24 21:35:00.973479 (114)  	6 duplicate_received
2016-10-24 21:35:00.976618 (75)  	5 duplicate_received
2016-10-24 21:35:01.85053 (37)  	6 duplicate_received
2016-10-24 21:35:01.86157 (79)  	7 duplicate_received
2016-10-24 21:35:01.88458 (5)  	7 duplicate_received
2016-10-24 21:35:01.92006 (98)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:35:01.461656 (96)  	7 duplicate_received
2016-10-24 21:35:01.464264 (93)  	7 duplicate_received
2016-10-24 21:35:01.468788 (153)  	7 duplicate_received
2016-10-24 21:35:01.500398 (131)  	7 duplicate_received
2016-10-24 21:35:01.504105 (75)  	5 duplicate_received
2016-10-24 21:35:01.506174 (150)  	6 duplicate_received
2016-10-24 21:35:01.575356 (113)  	7 duplicate_received
2016-10-24 21:35:01.578415 (98)  	6 duplicate_received
2016-10-24 21:35:01.581615 (77)  	7 duplicate_received
2016-10-24 21:35:01.661560 (40)  	8 duplicate_received
2016-10-24 21:35:01.664124 (168)  	7 duplicate_received
2016-10-24 21:35:01.666578 (134)  	7 duplicate_received
2016-10-24 21:35:01.832505 (132)  	7 duplicate_received
2016-10-24 21:35:01.836194 (114)  	7 duplicate_received
2016-10-24 21:35:01.848937 (149)  	7 duplicate_received
2016-10-24 21:35:02.325624 (3)  	6 duplicate_received
2016-10-24 21:35:02.328453 (92)  	6 duplicate_received
2016-10-24 21:35:02.331531 (42)  	6 duplicate_received
2016-10-24 21:35:02.662949 (78)  	7 duplicate_received
2016-10-24 21:35:02.665650 (1)  	7 duplicate_received
2016-10-24 21:35:02.670428 (37)  	7 duplicate_received
2016-10-24 21:35:03.257370 (56)  	8 duplicate_received
2016-10-24 21:35:03.260167 (168)  	8 duplicate_received
2016-10-24 21:35:03.262340 (149)  	8 duplicate_received
2016-10-24 21:35:03.449146 (78)  	7 duplicate_received
2016-10-24 21:35:03.453832 (151)  	8 duplicate_received
2016-10-24 21:35:03.454745 (75)  	6 duplicate_received
