2016-10-24 21:32:17.409646 (18)  	0 i_am_infected_as_patient_zero
2016-10-24 21:32:27.281913 (169)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:27.418538 (131)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:27.419674 (18)  	5 duplicate_received
2016-10-24 21:32:27.435270 (92)  	5 i_am_infected_by_rumor_mongering
2016-10-24 21:32:27.451581 (55)  	4 i_am_infected_by_rumor_mongering
2016-10-24 21:32:27.486875 (135)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:27.786691 (40)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:27.846852 (58)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:27.863389 (114)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:27.926060 (75)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:28.41420 (5)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:28.239579 (18)  	5 duplicate_received
2016-10-24 21:32:28.240646 (61)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:28.242455 (92)  	6 duplicate_received
2016-10-24 21:32:28.244795 (55)  	4 duplicate_received
2016-10-24 21:32:28.265181 (112)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:28.327919 (2)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:28.369557 (134)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:32:28.767332 (18)  	5 duplicate_received
2016-10-24 21:32:28.772013 (92)  	6 duplicate_received
2016-10-24 21:32:28.774716 (55)  	5 duplicate_received
2016-10-24 21:32:28.820663 (74)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:28.840010 (170)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.7937 (93)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.13051 (38)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.78961 (60)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.107999 (23)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.114510 (150)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.123088 (149)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.211122 (171)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.418379 (18)  	6 duplicate_received
2016-10-24 21:32:29.421371 (92)  	6 duplicate_received
2016-10-24 21:32:29.426649 (59)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.427610 (55)  	5 duplicate_received
2016-10-24 21:32:29.433053 (42)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.444237 (57)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.479100 (21)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.484735 (148)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.701985 (96)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.784091 (132)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.847208 (115)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.901142 (22)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:29.977704 (111)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.76445 (98)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.99365 (41)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.240511 (18)  	6 duplicate_received
2016-10-24 21:32:30.241838 (151)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.243314 (92)  	7 duplicate_received
2016-10-24 21:32:30.245919 (55)  	5 duplicate_received
2016-10-24 21:32:30.265928 (78)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.324129 (166)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.409466 (1)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.448771 (77)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.455390 (39)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.579766 (76)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.620876 (153)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.704850 (20)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:30.768773 (18)  	6 duplicate_received
2016-10-24 21:32:30.771520 (92)  	7 duplicate_received
2016-10-24 21:32:30.773991 (55)  	6 duplicate_received
2016-10-24 21:32:31.8303 (95)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:31.271121 (4)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:32:31.418904 (18)  	7 duplicate_received
2016-10-24 21:32:31.421977 (92)  	7 duplicate_received
2016-10-24 21:32:31.424575 (55)  	6 duplicate_received
2016-10-24 21:32:31.580102 (94)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:31.704029 (168)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:32:31.908093 (19)  	7 i_am_infected_by_anti_entropy
