2016-10-24 16:18:38.818005 (92)  	0 i_am_infected_as_patient_zero
2016-10-24 16:18:43.827160 (41)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:43.842502 (133)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:43.852919 (21)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:43.847982 (151)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:43.930133 (94)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:43.950273 (169)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:43.954760 (56)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:43.959092 (131)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.142423 (40)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.147069 (4)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.151720 (57)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.158481 (20)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.165245 (114)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.169534 (133)  	0 duplicate_received
2016-10-24 16:18:44.172458 (56)  	0 duplicate_received
2016-10-24 16:18:44.175299 (166)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.567703 (18)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.565317 (92)  	1 duplicate_received
2016-10-24 16:18:44.578064 (115)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.583269 (129)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.589024 (40)  	0 duplicate_received
2016-10-24 16:18:44.591112 (20)  	1 duplicate_received
2016-10-24 16:18:44.625293 (92)  	1 duplicate_received
2016-10-24 16:18:44.627628 (148)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.632923 (37)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.572783 (169)  	0 duplicate_received
2016-10-24 16:18:44.575713 (151)  	1 duplicate_received
2016-10-24 16:18:44.637592 (39)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.641859 (55)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.648629 (21)  	0 duplicate_received
2016-10-24 16:18:44.656861 (151)  	1 duplicate_received
2016-10-24 16:18:44.662133 (59)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.667092 (130)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.672441 (132)  	0 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.650836 (41)  	0 duplicate_received
2016-10-24 16:18:44.651524 (56)  	0 duplicate_received
2016-10-24 16:18:44.653655 (133)  	0 duplicate_received
2016-10-24 16:18:44.653922 (170)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.658935 (170)  	1 duplicate_received
2016-10-24 16:18:44.677239 (20)  	1 duplicate_received
2016-10-24 16:18:44.795066 (92)  	1 duplicate_received
2016-10-24 16:18:44.797501 (19)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:44.805375 (130)  	0 duplicate_received
2016-10-24 16:18:44.810472 (59)  	0 duplicate_received
2016-10-24 16:18:44.813406 (95)  	0 i_am_infected_by_rumor_mongering
