2016-10-24 16:18:11.320386 (167)  	1 duplicate_received
2016-10-24 16:18:11.323329 (38)  	1 duplicate_received
2016-10-24 16:18:11.325896 (21)  	1 duplicate_received
2016-10-24 16:18:11.682779 (150)  	1 duplicate_received
2016-10-24 16:18:11.685779 (113)  	1 duplicate_received
2016-10-24 16:18:11.687319 (92)  	2 duplicate_received
2016-10-24 16:18:11.691714 (38)  	1 duplicate_received
2016-10-24 16:18:11.688315 (19)  	1 duplicate_received
2016-10-24 16:18:11.695301 (19)  	1 duplicate_received
2016-10-24 16:18:11.690556 (113)  	1 duplicate_received
2016-10-24 16:18:11.692809 (20)  	1 duplicate_received
2016-10-24 16:18:11.799887 (112)  	1 duplicate_received
2016-10-24 16:18:11.802449 (93)  	1 duplicate_received
2016-10-24 16:18:11.804732 (133)  	1 duplicate_received
2016-10-24 16:18:11.808235 (149)  	2 duplicate_received
2016-10-24 16:18:12.45502 (59)  	1 duplicate_received
2016-10-24 16:18:12.48274 (170)  	1 duplicate_received
2016-10-24 16:18:12.49695 (56)  	1 duplicate_received
2016-10-24 16:18:12.51717 (37)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:12.52818 (4)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:12.57881 (129)  	1 duplicate_received
2016-10-24 16:18:12.58655 (21)  	1 duplicate_received
2016-10-24 16:18:12.60846 (166)  	2 duplicate_received
2016-10-24 16:18:12.163429 (39)  	2 duplicate_received
2016-10-24 16:18:12.165791 (167)  	1 duplicate_received
2016-10-24 16:18:12.168230 (149)  	2 duplicate_received
2016-10-24 16:18:12.171245 (59)  	1 duplicate_received
2016-10-24 16:18:12.540914 (151)  	2 duplicate_received
2016-10-24 16:18:12.543741 (76)  	1 duplicate_received
2016-10-24 16:18:12.546135 (59)  	1 duplicate_received
2016-10-24 16:18:12.549129 (37)  	1 duplicate_received
2016-10-24 16:18:12.766699 (151)  	2 duplicate_received
2016-10-24 16:18:12.767133 (18)  	2 duplicate_received
2016-10-24 16:18:12.770236 (171)  	2 duplicate_received
2016-10-24 16:18:12.770963 (129)  	1 duplicate_received
2016-10-24 16:18:12.776321 (131)  	2 duplicate_received
2016-10-24 16:18:12.777199 (74)  	2 duplicate_received
2016-10-24 16:18:12.809924 (41)  	2 duplicate_received
2016-10-24 16:18:12.812520 (113)  	1 duplicate_received
2016-10-24 16:18:12.815142 (92)  	2 duplicate_received
2016-10-24 16:18:12.773746 (21)  	1 duplicate_received
2016-10-24 16:18:12.773973 (19)  	1 duplicate_received
2016-10-24 16:18:12.823403 (115)  	1 duplicate_received
2016-10-24 16:18:12.923633 (171)  	2 duplicate_received
2016-10-24 16:18:12.925995 (57)  	2 duplicate_received
2016-10-24 16:18:12.928600 (2)  	1 duplicate_received
2016-10-24 16:18:12.931727 (78)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:13.84878 (112)  	2 duplicate_received
2016-10-24 16:18:13.88004 (37)  	1 duplicate_received
2016-10-24 16:18:13.90237 (166)  	2 duplicate_received
2016-10-24 16:18:13.93061 (111)  	2 duplicate_received
2016-10-24 16:18:13.105467 (131)  	2 duplicate_received
2016-10-24 16:18:13.108810 (40)  	2 duplicate_received
2016-10-24 16:18:13.111531 (21)  	1 duplicate_received
2016-10-24 16:18:13.114068 (75)  	1 duplicate_received
2016-10-24 16:18:13.246913 (171)  	2 duplicate_received
2016-10-24 16:18:13.249288 (169)  	1 i_am_infected_by_rumor_mongering
2016-10-24 16:18:13.254376 (38)  	2 duplicate_received
2016-10-24 16:18:13.257069 (1)  	1 duplicate_received
2016-10-24 16:18:13.468392 (18)  	2 duplicate_received
2016-10-24 16:18:13.471578 (115)  	2 duplicate_received
2016-10-24 16:18:13.474576 (38)  	2 duplicate_received
2016-10-24 16:18:13.476804 (113)  	1 duplicate_received
2016-10-24 16:18:13.488945 (129)  	1 duplicate_received
2016-10-24 16:18:13.491880 (75)  	1 duplicate_received
2016-10-24 16:18:13.494200 (167)  	1 duplicate_received
2016-10-24 16:18:13.498504 (149)  	2 duplicate_received
2016-10-24 16:18:13.889777 (112)  	2 duplicate_received
2016-10-24 16:18:13.892795 (75)  	1 duplicate_received
2016-10-24 16:18:13.895096 (167)  	1 duplicate_received
2016-10-24 16:18:13.897887 (150)  	1 duplicate_received
2016-10-24 16:18:13.963127 (1)  	1 duplicate_received
2016-10-24 16:18:13.965780 (170)  	1 duplicate_received
2016-10-24 16:18:13.968708 (21)  	1 duplicate_received
2016-10-24 16:18:13.971438 (38)  	2 duplicate_received
2016-10-24 16:18:14.185752 (150)  	1 duplicate_received
2016-10-24 16:18:14.188763 (93)  	1 duplicate_received
2016-10-24 16:18:14.191393 (169)  	2 duplicate_received
2016-10-24 16:18:14.194061 (113)  	1 duplicate_received
2016-10-24 16:18:14.975475 (18)  	2 duplicate_received
2016-10-24 16:18:14.978493 (115)  	2 duplicate_received
2016-10-24 16:18:14.981154 (167)  	1 duplicate_received
2016-10-24 16:18:14.983520 (20)  	2 duplicate_received
2016-10-24 16:18:14.991136 (111)  	2 duplicate_received
2016-10-24 16:18:14.993749 (92)  	2 duplicate_received
2016-10-24 16:18:14.996666 (38)  	2 duplicate_received
2016-10-24 16:18:14.998891 (96)  	2 duplicate_received
2016-10-24 16:18:15.61605 (41)  	2 duplicate_received
2016-10-24 16:18:15.64200 (131)  	2 duplicate_received
2016-10-24 16:18:15.67011 (58)  	2 duplicate_received
2016-10-24 16:18:15.69815 (111)  	2 duplicate_received
2016-10-24 16:18:15.260057 (18)  	2 duplicate_received
2016-10-24 16:18:15.262911 (58)  	2 duplicate_received
2016-10-24 16:18:15.265346 (19)  	2 duplicate_received
2016-10-24 16:18:15.268128 (96)  	2 duplicate_received
2016-10-24 16:18:15.267159 (58)  	2 duplicate_received
2016-10-24 16:18:15.269717 (113)  	1 duplicate_received
2016-10-24 16:18:15.297198 (20)  	2 duplicate_received
2016-10-24 16:18:15.305155 (133)  	1 duplicate_received
2016-10-24 16:18:15.331428 (41)  	2 duplicate_received
2016-10-24 16:18:15.334347 (21)  	1 duplicate_received
2016-10-24 16:18:15.336735 (74)  	2 duplicate_received
2016-10-24 16:18:15.272579 (38)  	2 duplicate_received
2016-10-24 16:18:15.303090 (38)  	2 duplicate_received
2016-10-24 16:18:15.339594 (151)  	2 duplicate_received
2016-10-24 16:18:15.300093 (4)  	2 duplicate_received
2016-10-24 16:18:15.379307 (111)  	3 duplicate_received
2016-10-24 16:18:15.382709 (39)  	2 duplicate_received
2016-10-24 16:18:15.386726 (133)  	1 duplicate_received
2016-10-24 16:18:15.389713 (56)  	2 duplicate_received
2016-10-24 16:18:15.274680 (19)  	2 duplicate_received
2016-10-24 16:18:15.440202 (75)  	1 duplicate_received
2016-10-24 16:18:15.442358 (92)  	2 duplicate_received
2016-10-24 16:18:15.443321 (2)  	2 duplicate_received
2016-10-24 16:18:15.444381 (148)  	2 duplicate_received
2016-10-24 16:18:15.455970 (76)  	2 duplicate_received
2016-10-24 16:18:15.456238 (59)  	2 duplicate_received
2016-10-24 16:18:15.458881 (38)  	2 duplicate_received
2016-10-24 16:18:15.461206 (2)  	2 duplicate_received
2016-10-24 16:18:15.445370 (20)  	2 duplicate_received
2016-10-24 16:18:15.446125 (57)  	2 duplicate_received
2016-10-24 16:18:15.450280 (57)  	2 duplicate_received
2016-10-24 16:18:15.449548 (113)  	2 duplicate_received
2016-10-24 16:18:15.449136 (133)  	2 duplicate_received
2016-10-24 16:18:15.452177 (74)  	2 duplicate_received
2016-10-24 16:18:15.452966 (21)  	2 duplicate_received
2016-10-24 16:18:15.452876 (56)  	2 duplicate_received
