2016-10-24 21:33:16.295528 (55)  	0 i_am_infected_as_patient_zero
2016-10-24 21:33:26.305577 (42)  	3 i_am_infected_by_anti_entropy
2016-10-24 21:33:26.306296 (55)  	5 duplicate_received
2016-10-24 21:33:26.310572 (18)  	4 i_am_infected_by_rumor_mongering
2016-10-24 21:33:26.313419 (129)  	4 i_am_infected_by_rumor_mongering
2016-10-24 21:33:26.486095 (55)  	5 duplicate_received
2016-10-24 21:33:26.490596 (18)  	4 duplicate_received
2016-10-24 21:33:26.539544 (19)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:26.486478 (4)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:33:26.493179 (129)  	5 duplicate_received
2016-10-24 21:33:26.622214 (131)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:26.824256 (133)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:26.849683 (113)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:26.993689 (153)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:27.83011 (111)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:27.184665 (134)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:27.235678 (3)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:27.563948 (21)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:27.629661 (41)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:27.677854 (22)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:27.731578 (1)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:27.854321 (57)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:27.928230 (94)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.48175 (114)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.48915 (55)  	5 duplicate_received
2016-10-24 21:33:28.51864 (18)  	5 duplicate_received
2016-10-24 21:33:28.54815 (129)  	5 duplicate_received
2016-10-24 21:33:28.106095 (130)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.110992 (95)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.305527 (55)  	6 duplicate_received
2016-10-24 21:33:28.308111 (18)  	5 duplicate_received
2016-10-24 21:33:28.310656 (129)  	5 duplicate_received
2016-10-24 21:33:28.404606 (59)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.440836 (37)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.486309 (55)  	6 duplicate_received
2016-10-24 21:33:28.488398 (40)  	5 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.489611 (18)  	5 duplicate_received
2016-10-24 21:33:28.491824 (129)  	6 duplicate_received
2016-10-24 21:33:28.551295 (150)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.639828 (23)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.680203 (76)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.823651 (116)  	4 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.850168 (38)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.935611 (78)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:28.993056 (75)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:29.92754 (77)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:29.324402 (152)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:29.345637 (93)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:29.408485 (151)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:29.519063 (148)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:29.530804 (149)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:29.678436 (169)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:29.799892 (96)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:30.50182 (55)  	6 duplicate_received
2016-10-24 21:33:30.52806 (18)  	6 duplicate_received
2016-10-24 21:33:30.55561 (129)  	6 duplicate_received
2016-10-24 21:33:30.94254 (24)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:30.197892 (98)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:30.306231 (60)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:30.306898 (55)  	7 duplicate_received
2016-10-24 21:33:30.309366 (18)  	6 duplicate_received
2016-10-24 21:33:30.311655 (129)  	6 duplicate_received
2016-10-24 21:33:30.486106 (2)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:30.637331 (56)  	7 i_am_infected_by_anti_entropy
2016-10-24 21:33:30.659849 (167)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:30.765260 (172)  	8 i_am_infected_by_anti_entropy
2016-10-24 21:33:30.825870 (97)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:31.91415 (132)  	6 i_am_infected_by_anti_entropy
2016-10-24 21:33:31.616564 (5)  	8 i_am_infected_by_anti_entropy
