# clustering cumul_peers
0.07142857142857142 1
0.125 2
0.125 3
0.14285714285714285 4
0.14285714285714285 5
0.14285714285714285 6
0.16071428571428573 7
0.16071428571428573 8
0.16071428571428573 9
0.17857142857142858 10
0.17857142857142858 11
0.17857142857142858 12
0.17857142857142858 13
0.19642857142857142 14
0.19642857142857142 15
0.19642857142857142 16
0.19642857142857142 17
0.19642857142857142 18
0.21428571428571427 19
0.21428571428571427 20
0.21428571428571427 21
0.21428571428571427 22
0.23214285714285715 23
0.23214285714285715 24
0.23214285714285715 25
0.25 26
0.25 27
0.25 28
0.26785714285714285 29
0.26785714285714285 30
0.26785714285714285 31
0.2857142857142857 32
0.2857142857142857 33
0.2857142857142857 34
0.2857142857142857 35
0.2857142857142857 36
0.30357142857142855 37
0.32142857142857145 38
0.32142857142857145 39
0.32142857142857145 40
0.32142857142857145 41
0.32142857142857145 42
0.3392857142857143 43
0.35714285714285715 44
0.35714285714285715 45
0.35714285714285715 46
0.39285714285714285 47
0.39285714285714285 48
0.42857142857142855 49
0.42857142857142855 50
